,0
0,Euro 2012 âš½ï¸ ğŸ†
1,"We may loose people throughout the years starting thousands of years of torture and death. But in the present day we still get tortured for example North Korea kills innocents for not listening to their rules but if you try to escape from North Korea and you see a military boat coming to kill you or take you back pray to god and if they shoot you or even try to run you over you may bleed all over your body but never give up your freedom and liberty you keep fighting till the end and you may escape also in the future there is gonna be a war about heaven and hell fighting but when your in that war you see innocents die you praise to god and ask mercy for you and your allies and family till the truth will come god will send you power and you fight for your family, country, and your freedom if you die itâ€™s not the end you will get back up and keep fighting and someone else will do it and may god be with us all through this nightmare even when you feel alone you have somebody with you and that is your family in your heart to guide you even god or Jesus donâ€™t ever give up your freedom do your best we shall fight any where from the heavens or even your house you still will win the fight but even famous people or you have to do a sacrifice for you and your family and may be god with you forever in name of Jesus !!!!! Amen !!!!!!!"
2,This tune would be mental torture for DONALD TRUMP at this moment in time <br />       Greeting&#39;s from <br />            The UK! ğŸ˜
3,I FUCKING FOUND IT!!!
4,This is a masterpiece
5,played this to my strict asian mom. <br />she became American
6,Finally after 21 years I finally found it
7,LEGENDS ALWAYS CAME BACK!!!!!!!
8,Acun Ä±lÄ±calÄ± is using this song in â€œSURVÄ°VORâ€
9,the guy who just finished a body transformation coyping the link :DDD
10,The 10k dislikes are from the people who havenâ€™t found this yet
11,When you&#39;re doing the homework while the teacher is collecting it
12,everyone: OMG I FINALLY FOUND THIS SONG<br />me: who found it on accident and does not know where this song came from and just thinks it cool._.
13,This song gives A Power!!!â¤
14,Finaly
15,Fuckin awesome
16,EPIC
17,I was trying to be a LEGEND now i am one of them
18,<b>M O I S T</b>
19,People: this will play at the end of 2020!<br /><br />2021:  <b>( Í¡Â° ÍœÊ– Í¡Â°)</b>
